class,cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size
e,f,f,g,f,n,f,w,b
e,b,s,w,t,a,f,c,b
e,x,s,y,t,l,f,c,b
e,x,y,n,t,a,f,c,b
e,s,f,g,f,n,f,c,n
e,b,y,y,t,a,f,c,b
e,b,s,y,t,l,f,c,b
e,b,y,y,t,l,f,c,b
e,b,y,w,t,l,f,c,b
e,f,s,n,f,n,f,w,b
e,x,s,w,t,l,f,c,b
e,f,y,y,t,a,f,c,b
e,x,y,y,t,a,f,c,b
e,x,f,g,f,n,f,c,n
e,f,f,y,t,l,f,w,n
e,b,y,w,t,l,f,c,b
e,f,f,y,t,l,f,w,n
e,x,y,n,t,a,f,c,b
e,b,s,y,t,a,f,c,b
e,f,s,y,t,l,f,w,n
e,x,s,w,t,l,f,w,n
e,f,y,n,t,l,f,c,b
p,x,y,n,t,p,f,c,n
e,f,y,n,t,a,f,c,b
e,x,s,n,f,n,f,w,b
p,x,y,w,t,p,f,c,n
e,f,f,g,f,n,f,c,n
e,x,f,g,f,n,f,w,b
e,x,y,y,t,l,f,c,b
e,x,s,n,f,n,f,w,b
e,b,s,w,t,a,f,c,b
e,x,s,w,t,l,f,c,b
e,f,y,n,t,l,f,c,b
e,s,f,n,f,n,f,c,n
e,x,f,n,f,n,f,c,n
e,b,s,w,t,l,f,c,b
e,x,y,y,t,a,f,c,b
e,x,y,y,t,l,f,c,b
e,x,s,n,f,n,f,w,b
e,x,s,w,t,a,f,c,b
e,f,y,n,t,l,f,c,b
e,x,s,y,t,a,f,c,b
e,b,s,w,t,a,f,c,b
e,x,y,w,t,a,f,c,b
e,x,f,n,f,n,f,w,b
e,b,s,y,t,l,f,c,b
e,f,y,y,t,l,f,c,b
e,x,y,y,t,a,f,c,b
e,b,y,w,t,l,f,c,b
e,x,y,y,t,a,f,c,b
e,x,y,y,t,a,f,c,b
e,b,y,w,t,l,f,c,b
e,b,y,w,t,a,f,c,b
e,x,s,y,t,a,f,c,b
e,x,s,y,t,l,f,c,b
e,s,f,g,f,n,f,c,n
e,x,f,w,t,a,f,w,n
e,x,s,y,t,a,f,c,b
p,x,y,w,t,p,f,c,n
e,x,y,y,t,l,f,c,b
e,s,f,g,f,n,f,c,n
e,x,y,y,t,l,f,c,b
e,x,s,y,t,l,f,w,n
e,s,f,n,f,n,f,c,n
p,x,s,w,t,p,f,c,n
e,x,y,w,t,a,f,c,b
p,f,y,n,t,p,f,c,n
e,f,s,g,f,n,f,w,b
e,x,s,y,t,l,f,c,b
e,x,s,w,f,n,f,w,b
e,b,s,y,t,a,f,c,b
e,f,f,g,f,n,f,w,b
e,x,s,w,t,l,f,c,b
e,b,s,w,t,l,f,c,b
e,b,s,w,t,l,f,c,b
e,b,y,w,t,l,f,c,b
e,f,s,w,t,l,f,w,n
e,x,y,y,t,l,f,c,b
e,f,s,w,t,a,f,w,n
p,x,y,w,t,p,f,c,n
e,f,f,w,t,l,f,w,n
e,x,y,y,t,a,f,c,b
p,x,s,n,t,p,f,c,n
e,b,s,y,t,l,f,c,b
e,x,y,n,t,a,f,c,b
e,b,y,y,t,l,f,c,b
e,s,f,n,f,n,f,c,n
e,f,y,n,t,a,f,c,b
e,x,y,y,t,a,f,c,b
e,x,f,g,f,n,f,w,b
e,f,f,w,f,n,f,w,b
e,x,y,y,t,l,f,c,b
e,b,s,y,t,l,f,c,b
e,b,y,w,t,a,f,c,b
e,x,y,w,t,a,f,c,b
e,x,s,n,f,n,f,w,b
e,x,y,w,t,l,f,c,b
e,s,f,n,f,n,f,c,n
e,x,s,w,t,a,f,w,n
e,x,y,n,t,l,f,c,b
e,b,y,y,t,a,f,c,b
e,x,y,w,t,a,f,c,b
e,b,y,w,t,a,f,c,b
e,b,s,y,t,a,f,c,b
e,b,s,y,t,l,f,c,b
e,b,y,y,t,a,f,c,b
e,x,f,n,f,n,f,c,n
e,f,y,n,t,l,f,c,b
e,x,y,w,t,a,f,c,b
e,f,y,y,t,l,f,c,b
e,b,s,w,t,a,f,c,b
e,b,s,w,t,a,f,c,b
e,x,y,n,t,l,f,c,b
e,b,s,w,t,a,f,c,b
e,x,f,g,f,n,f,c,n
e,b,s,y,t,l,f,c,b
e,x,f,y,t,l,f,w,n
e,b,y,y,t,a,f,c,b
e,f,y,y,t,l,f,c,b
e,b,y,w,t,l,f,c,b
e,b,y,w,t,a,f,c,b
e,b,y,y,t,a,f,c,b
e,x,y,y,t,l,f,c,b
e,b,s,y,t,l,f,c,b
p,x,y,w,t,p,f,c,n
e,s,f,n,f,n,f,c,n
e,f,f,n,f,n,f,c,n
e,x,s,y,t,a,f,c,b
e,f,y,n,t,a,f,c,b
p,x,y,w,t,p,f,c,n
e,b,s,w,t,l,f,c,b
e,f,f,g,f,n,f,c,n
e,b,y,y,t,l,f,c,b
e,x,y,n,t,a,f,c,b
e,x,f,w,f,n,f,w,b
e,x,s,w,t,l,f,w,n
e,b,s,w,t,l,f,c,b
e,f,s,y,t,a,f,w,n
e,x,s,y,t,a,f,c,b
e,f,f,g,f,n,f,c,n
e,b,s,y,t,a,f,c,b
e,x,s,w,t,l,f,c,b
e,x,y,w,t,l,f,c,b
e,f,s,w,t,a,f,w,n
e,x,y,y,t,l,f,c,b
e,b,s,w,t,l,f,c,b
e,x,s,w,t,a,f,c,b
e,x,f,w,f,n,f,w,b
e,f,y,n,t,l,f,c,b
p,x,s,w,t,p,f,c,n
e,b,s,w,t,a,f,c,b
e,b,s,w,t,a,f,c,b
e,b,y,w,t,l,f,c,b
e,b,y,w,t,a,f,c,b
e,x,s,y,t,a,f,c,b
e,b,s,w,t,l,f,c,b
e,x,f,y,t,a,f,w,n
e,x,f,g,f,n,f,c,n
e,f,y,y,t,a,f,c,b
e,b,s,w,t,l,f,c,b
e,x,s,y,t,a,f,c,b
e,x,y,y,t,a,f,c,b
e,x,y,w,t,l,f,c,b
e,s,f,g,f,n,f,c,n
e,x,s,w,t,a,f,c,b
p,x,s,w,t,p,f,c,n
e,x,y,y,t,a,f,c,b
e,f,f,w,t,a,f,w,n
e,x,y,w,t,l,f,c,b
e,b,y,w,t,l,f,c,b
e,x,s,w,t,a,f,c,b
e,x,s,y,t,a,f,c,b
p,x,y,n,t,p,f,c,n
e,b,s,y,t,a,f,c,b
e,x,f,g,f,n,f,c,n
p,x,y,w,t,p,f,c,n
e,x,y,y,t,l,f,c,b
e,f,f,n,f,n,f,c,n
e,b,s,w,t,l,f,c,b
e,x,f,w,t,l,f,w,n
e,x,y,w,t,l,f,c,b
e,b,y,y,t,l,f,c,b
e,x,y,y,t,l,f,c,b
e,f,y,y,t,a,f,c,b
e,f,y,y,t,a,f,c,b
e,x,s,w,t,l,f,c,b
e,x,s,w,t,a,f,c,b
p,x,s,w,t,p,f,c,n
e,f,f,w,t,a,f,w,n
e,x,s,w,t,l,f,c,b
e,x,s,w,t,l,f,w,n
e,x,y,w,t,a,f,c,b
e,f,y,y,t,l,f,c,b
e,x,s,n,f,n,f,w,b
e,f,y,y,t,a,f,c,b
p,x,s,n,t,p,f,c,n
e,s,f,n,f,n,f,c,n
e,b,y,y,t,l,f,c,b
e,b,s,w,t,l,f,c,b
e,b,y,w,t,l,f,c,b
e,f,f,n,f,n,f,c,n
e,x,s,w,t,a,f,c,b
e,b,y,w,t,l,f,c,b
e,b,y,w,t,a,f,c,b
e,f,y,n,t,l,f,c,b
p,x,y,w,t,p,f,c,n
e,x,s,w,t,a,f,c,b
e,x,y,w,t,a,f,c,b
e,f,f,w,t,l,f,w,n
e,f,f,g,f,n,f,c,n
e,f,s,g,f,n,f,w,b
e,x,y,y,t,a,f,c,b
e,b,s,w,t,a,f,c,b
p,f,y,n,t,p,f,c,n
e,x,s,w,t,l,f,c,b
p,f,s,n,t,p,f,c,n
e,x,y,w,t,l,f,c,b
e,x,y,y,t,a,f,c,b
e,f,y,y,t,a,f,c,b
e,x,y,n,t,a,f,c,b
e,f,y,n,t,a,f,c,b
e,x,y,w,t,a,f,c,b
e,f,f,n,f,n,f,w,b
e,x,s,y,t,l,f,c,b
p,x,y,w,t,p,f,c,n
e,b,y,y,t,a,f,c,b
e,s,f,n,f,n,f,c,n
e,x,s,y,t,l,f,c,b
e,b,y,w,t,l,f,c,b
e,f,y,n,t,a,f,c,b
e,b,y,y,t,a,f,c,b
e,b,y,w,t,a,f,c,b
e,x,y,n,t,l,f,c,b
e,f,f,g,f,n,f,c,n
e,x,f,g,f,n,f,c,n
e,b,y,y,t,l,f,c,b
e,x,s,y,t,l,f,c,b
e,b,y,w,t,l,f,c,b
e,x,s,w,t,a,f,c,b
e,b,s,y,t,a,f,c,b
e,x,s,y,t,a,f,c,b
e,x,f,g,f,n,f,w,b
e,f,s,y,t,a,f,w,n
p,x,y,w,t,p,f,c,n
e,x,f,w,f,n,f,w,b
e,b,y,w,t,a,f,c,b
e,x,s,y,t,l,f,w,n
e,b,y,w,t,a,f,c,b
e,x,y,w,t,l,f,c,b
e,x,f,n,t,n,f,c,b
e,b,y,w,t,l,f,c,b
e,x,s,y,t,l,f,c,b
e,f,y,n,t,a,f,c,b
e,x,f,w,f,n,f,w,b
e,x,s,y,t,l,f,c,b
p,x,y,w,t,p,f,c,n
e,x,y,y,t,l,f,c,b
e,x,f,w,t,a,f,w,n
e,b,s,y,t,a,f,c,b
p,x,y,w,t,p,f,c,n
e,x,s,y,t,a,f,w,n
e,x,y,w,t,a,f,c,b
e,x,f,w,t,l,f,w,n
e,f,s,w,t,l,f,w,n
e,x,y,y,t,l,f,c,b
e,f,f,y,t,a,f,w,n
e,x,s,w,t,a,f,c,b
e,b,y,y,t,a,f,c,b
e,x,y,n,t,l,f,c,b
e,b,y,w,t,l,f,c,b
e,x,s,y,t,a,f,c,b
p,x,y,n,t,p,f,c,n
e,b,s,y,t,l,f,c,b
e,b,y,w,t,a,f,c,b
p,x,y,n,t,p,f,c,n
e,b,s,w,t,l,f,c,b
e,b,y,y,t,l,f,c,b
e,b,y,y,t,a,f,c,b
e,x,y,w,t,l,f,c,b
e,x,f,n,t,n,f,c,b
e,x,y,n,t,a,f,c,b
e,b,s,y,t,l,f,c,b
e,x,f,g,f,n,f,c,n
e,x,y,n,t,l,f,c,b
e,x,s,w,t,a,f,c,b
e,b,y,w,t,a,f,c,b
e,x,s,y,t,a,f,c,b
e,f,f,y,t,a,f,w,n
e,b,y,y,t,l,f,c,b
e,x,f,n,f,n,f,w,b
e,x,f,y,t,l,f,w,n
e,x,s,y,t,a,f,c,b
e,f,s,g,f,n,f,w,b
e,x,f,n,f,n,f,c,n
e,f,s,g,f,n,f,w,b
e,f,y,n,t,a,f,c,b
e,b,y,w,t,a,f,c,b
e,b,s,y,t,a,f,c,b
e,x,y,y,t,l,f,c,b
e,s,f,g,f,n,f,c,n
e,f,y,n,t,a,f,c,b
p,x,y,n,t,p,f,c,n
e,x,y,y,t,a,f,c,b
e,x,y,y,t,a,f,c,b
e,x,f,n,f,n,f,w,b
e,x,f,n,f,n,f,w,b
e,f,s,n,f,n,f,w,b
e,f,y,n,t,a,f,c,b
e,x,s,y,t,a,f,c,b
e,f,f,n,f,n,f,c,n
e,x,y,y,t,a,f,c,b
e,x,f,y,t,a,f,w,n
e,b,y,y,t,a,f,c,b
e,x,f,g,f,n,f,w,b
e,x,y,y,t,a,f,c,b
e,f,y,n,t,l,f,c,b
e,x,s,y,t,a,f,c,b
e,s,f,n,f,n,f,c,n
e,x,s,w,t,a,f,c,b
e,b,s,w,t,l,f,c,b
e,s,f,n,f,n,f,c,n
e,b,y,y,t,l,f,c,b
e,x,y,y,t,l,f,c,b
e,b,y,y,t,a,f,c,b
p,x,y,n,t,p,f,c,n
e,x,s,w,f,n,f,w,b
e,x,y,w,t,a,f,c,b
e,b,s,w,t,a,f,c,b
e,x,f,n,t,n,f,c,b
p,x,s,n,t,p,f,c,n
e,x,y,n,t,l,f,c,b
e,x,s,n,f,n,f,w,b
e,b,y,y,t,l,f,c,b
e,x,s,y,t,a,f,c,b
e,b,s,y,t,a,f,c,b
e,x,s,y,t,l,f,c,b
e,b,y,w,t,a,f,c,b
e,x,f,g,f,n,f,c,n
e,f,y,n,t,a,f,c,b
e,x,f,g,f,n,f,w,b
e,x,s,w,t,l,f,c,b
e,x,y,y,t,l,f,c,b
e,x,f,g,f,n,f,c,n
p,x,s,n,t,p,f,c,n
e,b,y,w,t,l,f,c,b
e,b,y,w,t,a,f,c,b
p,x,y,n,t,p,f,c,n
e,b,s,y,t,l,f,c,b
e,x,s,w,t,l,f,c,b
e,x,y,y,t,l,f,c,b
e,b,y,y,t,l,f,c,b
e,x,s,w,t,a,f,c,b
e,x,s,w,t,a,f,c,b
e,x,y,n,t,l,f,c,b
e,x,s,w,t,a,f,c,b
e,x,s,n,f,n,f,w,b
e,x,y,n,t,l,f,c,b
e,x,y,y,t,l,f,c,b
p,x,y,n,t,p,f,c,n
e,b,y,y,t,a,f,c,b
e,x,f,w,t,l,f,w,n
p,x,s,n,t,p,f,c,n
e,x,y,y,t,l,f,c,b
e,f,f,g,f,n,f,w,b
e,x,y,w,t,l,f,c,b
e,b,y,w,t,a,f,c,b
p,x,y,n,t,p,f,c,n
e,f,y,n,t,l,f,c,b
e,x,s,w,t,l,f,c,b
e,x,s,w,t,a,f,w,n
e,f,y,n,t,a,f,c,b
e,b,s,w,t,a,f,c,b
e,x,s,w,f,n,f,w,b
e,f,f,g,f,n,f,c,n
e,x,y,w,t,a,f,c,b
e,x,y,y,t,l,f,c,b
e,b,s,y,t,l,f,c,b
e,b,s,y,t,l,f,c,b
e,f,s,w,t,l,f,w,n
e,b,s,w,t,a,f,c,b
e,x,f,y,t,a,f,w,n
e,x,y,w,t,l,f,c,b
e,b,y,y,t,l,f,c,b
e,x,y,n,t,a,f,c,b
e,x,y,w,t,l,f,c,b
e,x,y,w,t,l,f,c,b
e,x,y,y,t,a,f,c,b
e,x,y,w,t,l,f,c,b
e,x,s,y,t,l,f,c,b
e,x,y,n,t,l,f,c,b
e,x,s,w,t,l,f,c,b
e,f,y,n,t,l,f,c,b
e,b,s,w,t,l,f,c,b
e,x,f,n,t,n,f,c,b
e,x,y,w,t,l,f,c,b
e,b,s,w,t,l,f,c,b
e,b,s,y,t,l,f,c,b
e,x,f,y,t,l,f,w,n
e,b,s,w,t,l,f,c,b
e,x,s,g,f,n,f,w,b
e,b,s,w,t,a,f,c,b
e,b,s,y,t,l,f,c,b
e,f,y,y,t,a,f,c,b
e,f,y,n,t,a,f,c,b
e,x,s,w,t,a,f,c,b
e,f,y,y,t,l,f,c,b
e,b,s,w,t,a,f,c,b
e,x,y,y,t,a,f,c,b
e,x,f,n,f,n,f,c,n
e,f,y,n,t,a,f,c,b
e,x,s,w,t,a,f,c,b
e,x,s,y,t,l,f,c,b
e,b,y,y,t,l,f,c,b
e,f,y,y,t,a,f,c,b
e,x,y,y,t,l,f,c,b
e,x,y,w,t,a,f,c,b
e,f,f,w,t,a,f,w,n
e,s,f,g,f,n,f,c,n
e,f,s,y,t,l,f,w,n
e,f,f,g,f,n,f,c,n
e,x,f,n,f,n,f,c,n
e,b,y,w,t,a,f,c,b
e,x,s,w,t,a,f,w,n
e,b,y,y,t,l,f,c,b
e,b,y,y,t,a,f,c,b
e,b,y,y,t,l,f,c,b
e,f,s,w,t,l,f,w,n
e,f,f,g,f,n,f,c,n
e,f,s,w,t,a,f,w,n
e,f,y,y,t,a,f,c,b
e,x,y,w,t,l,f,c,b
e,s,f,n,f,n,f,c,n
e,x,y,n,t,l,f,c,b
e,x,y,n,t,a,f,c,b
e,f,f,y,t,a,f,w,n
p,f,s,n,t,p,f,c,n
p,x,s,n,t,p,f,c,n
e,f,y,n,t,l,f,c,b
e,x,y,y,t,a,f,c,b
e,b,s,y,t,a,f,c,b
e,f,f,w,f,n,f,w,b
e,f,y,n,t,a,f,c,b
e,x,y,w,t,a,f,c,b
e,b,s,y,t,l,f,c,b
e,x,s,y,t,a,f,c,b
e,b,y,y,t,a,f,c,b
e,x,s,w,t,l,f,c,b
e,b,s,y,t,a,f,c,b
e,b,y,y,t,a,f,c,b
p,x,s,n,t,p,f,c,n
e,x,s,g,f,n,f,w,b
e,f,s,n,f,n,f,w,b
e,x,f,w,t,a,f,w,n
e,f,f,g,f,n,f,c,n
e,f,f,n,f,n,f,c,n
e,b,y,y,t,a,f,c,b
e,x,f,w,t,a,f,w,n
e,s,f,g,f,n,f,c,n
e,x,f,n,f,n,f,c,n
e,x,f,w,f,n,f,w,b
e,x,y,n,t,l,f,c,b
e,b,s,y,t,a,f,c,b
e,x,y,w,t,l,f,c,b
e,x,y,y,t,a,f,c,b
e,x,s,w,t,l,f,c,b
e,b,s,w,t,l,f,c,b
e,f,y,y,t,a,f,c,b
p,x,s,n,t,p,f,c,n
e,f,f,g,f,n,f,c,n
e,b,s,y,t,l,f,c,b
e,f,y,n,t,a,f,c,b
e,x,s,y,t,a,f,c,b
e,x,f,n,f,n,f,c,n
e,f,y,y,t,a,f,c,b
e,x,y,n,t,a,f,c,b
e,x,s,w,t,a,f,c,b
p,x,y,w,t,p,f,c,n
e,f,y,n,t,l,f,c,b
p,f,s,n,t,p,f,c,n
e,x,f,w,f,n,f,w,b
e,b,y,w,t,a,f,c,b
e,s,f,n,f,n,f,c,n
e,x,y,y,t,l,f,c,b
e,f,s,w,t,a,f,w,n
e,x,s,y,t,a,f,c,b
e,f,f,g,f,n,f,w,b
p,x,y,w,t,p,f,c,n
e,x,y,y,t,a,f,c,b
e,f,f,n,f,n,f,w,b
e,x,s,w,t,a,f,c,b
e,b,y,y,t,l,f,c,b
e,f,f,g,f,n,f,c,n
e,x,f,y,t,l,f,w,n
e,x,s,y,t,a,f,c,b
e,f,f,n,f,n,f,c,n
e,x,f,g,f,n,f,w,b
e,x,y,y,t,l,f,c,b
e,f,s,w,t,l,f,w,n
e,x,s,y,t,l,f,c,b
e,f,y,y,t,a,f,c,b
p,x,y,n,t,p,f,c,n
e,x,f,w,t,l,f,w,n
e,x,s,w,t,l,f,c,b
e,x,y,y,t,a,f,c,b
e,b,s,y,t,a,f,c,b
e,x,s,y,t,a,f,w,n
e,x,s,y,t,a,f,w,n
e,x,f,w,f,n,f,w,b
e,b,s,w,t,a,f,c,b
p,x,y,w,t,p,f,c,n
e,x,y,y,t,a,f,c,b
e,f,s,g,f,n,f,w,b
p,x,s,n,t,p,f,c,n
e,b,y,w,t,a,f,c,b
e,x,s,w,t,a,f,c,b
e,f,f,y,t,l,f,w,n
e,x,s,y,t,a,f,c,b
e,b,y,w,t,l,f,c,b
e,x,y,n,t,a,f,c,b
e,x,s,y,t,l,f,c,b
e,x,f,n,f,n,f,c,n
e,x,s,y,t,l,f,c,b
e,x,y,y,t,l,f,c,b
p,x,s,n,t,p,f,c,n
e,x,s,w,t,a,f,c,b
e,x,s,y,t,a,f,c,b
e,x,y,w,t,l,f,c,b
e,x,y,y,t,a,f,c,b
e,f,y,y,t,a,f,c,b
e,x,y,w,t,a,f,c,b
e,s,f,g,f,n,f,c,n
e,f,f,n,f,n,f,c,n
e,s,f,g,f,n,f,c,n
e,x,y,w,t,a,f,c,b
p,x,s,w,t,p,f,c,n
e,x,s,g,f,n,f,w,b
e,x,y,y,t,l,f,c,b
p,x,y,w,t,p,f,c,n
e,x,s,y,t,a,f,c,b
p,x,s,n,t,p,f,c,n
e,b,s,y,t,l,f,c,b
e,b,y,w,t,l,f,c,b
p,x,y,w,t,p,f,c,n
p,x,s,n,t,p,f,c,n
e,x,s,g,f,n,f,w,b
e,x,y,n,t,l,f,c,b
e,f,f,w,f,n,f,w,b
e,f,y,n,t,l,f,c,b
e,b,y,w,t,l,f,c,b
e,b,s,w,t,a,f,c,b
e,x,s,g,f,n,f,w,b
e,f,y,n,t,a,f,c,b
e,x,s,w,t,l,f,c,b
e,f,f,g,f,n,f,c,n
e,f,s,n,f,n,f,w,b
e,x,f,g,f,n,f,w,b
e,f,s,w,f,n,f,w,b
p,x,s,w,t,p,f,c,n
e,x,y,y,t,l,f,c,b
e,b,s,w,t,l,f,c,b
e,f,f,g,f,n,f,w,b
e,b,y,w,t,l,f,c,b
e,b,s,y,t,a,f,c,b
e,s,f,g,f,n,f,c,n
e,f,y,y,t,l,f,c,b
e,b,s,w,t,l,f,c,b
e,x,f,w,t,l,f,w,n
e,f,y,y,t,a,f,c,b
e,f,f,g,f,n,f,c,n
e,x,s,w,t,l,f,c,b
e,f,f,y,t,l,f,w,n
e,s,f,g,f,n,f,c,n
e,b,y,w,t,a,f,c,b
e,b,s,w,t,a,f,c,b
e,f,f,n,f,n,f,w,b
e,b,y,y,t,a,f,c,b
e,x,f,n,t,n,f,c,b
e,x,y,n,t,l,f,c,b
e,x,y,n,t,a,f,c,b
e,b,y,y,t,a,f,c,b
e,f,y,y,t,a,f,c,b
e,x,y,y,t,l,f,c,b
e,x,s,n,f,n,f,w,b
e,x,y,w,t,a,f,c,b
e,b,y,y,t,l,f,c,b
e,x,y,n,t,a,f,c,b
e,f,y,n,t,l,f,c,b
e,f,y,n,t,a,f,c,b
e,f,y,y,t,l,f,c,b
e,x,s,y,t,l,f,w,n
e,b,y,w,t,a,f,c,b
e,b,s,w,t,l,f,c,b
e,x,y,y,t,a,f,c,b
e,f,f,w,t,l,f,w,n
e,x,s,y,t,a,f,c,b
e,b,s,y,t,l,f,c,b
e,f,y,y,t,a,f,c,b
p,x,y,n,t,p,f,c,n
p,x,y,w,t,p,f,c,n
e,x,s,y,t,l,f,c,b
e,f,f,w,f,n,f,w,b
e,b,s,y,t,a,f,c,b
e,x,y,y,t,l,f,c,b
e,f,f,g,f,n,f,c,n
e,b,s,w,t,a,f,c,b
e,x,s,w,t,l,f,c,b
p,x,y,n,t,p,f,c,n
p,x,s,n,t,p,f,c,n
e,b,s,w,t,l,f,c,b
e,b,s,y,t,a,f,c,b
e,f,y,n,t,a,f,c,b
e,x,y,y,t,l,f,c,b
e,f,y,y,t,l,f,c,b
e,x,y,w,t,a,f,c,b
e,x,s,y,t,a,f,c,b
e,f,f,n,f,n,f,c,n
e,f,f,n,f,n,f,w,b
e,x,f,y,t,l,f,w,n
e,f,y,y,t,l,f,c,b
e,f,f,n,f,n,f,c,n
e,f,f,g,f,n,f,c,n
e,x,y,n,t,l,f,c,b
e,x,y,y,t,l,f,c,b
e,b,s,w,t,a,f,c,b
e,x,s,w,t,l,f,w,n
e,x,y,w,t,a,f,c,b
e,x,f,y,t,a,f,w,n
e,b,s,y,t,a,f,c,b
e,x,f,n,t,n,f,c,b
e,x,y,w,t,a,f,c,b
e,f,f,g,f,n,f,c,n
e,b,y,w,t,a,f,c,b
e,x,y,y,t,l,f,c,b
e,x,s,w,t,a,f,c,b
e,b,s,y,t,a,f,c,b
e,b,y,w,t,l,f,c,b
e,x,y,n,t,a,f,c,b
e,f,s,g,f,n,f,w,b
p,x,y,n,t,p,f,c,n
e,b,y,w,t,a,f,c,b
e,b,s,y,t,a,f,c,b
p,x,y,n,t,p,f,c,n
p,x,s,n,t,p,f,c,n
e,f,s,n,f,n,f,w,b
p,x,s,n,t,p,f,c,n
e,f,f,g,f,n,f,w,b
e,x,y,y,t,l,f,c,b
e,b,y,w,t,l,f,c,b
e,f,y,y,t,l,f,c,b
e,f,y,y,t,l,f,c,b
e,b,y,y,t,l,f,c,b
e,s,f,n,f,n,f,c,n
e,x,s,w,t,a,f,c,b
e,b,y,y,t,a,f,c,b
e,f,y,y,t,a,f,c,b
e,f,s,n,f,n,f,w,b
e,x,s,w,t,l,f,c,b
e,b,y,y,t,l,f,c,b
e,b,y,y,t,l,f,c,b
e,b,y,y,t,a,f,c,b
e,b,s,w,t,l,f,c,b
e,x,y,y,t,a,f,c,b
e,x,y,n,t,a,f,c,b
e,s,f,n,f,n,f,c,n
e,f,y,n,t,a,f,c,b
e,x,s,w,t,a,f,c,b
e,f,s,y,t,l,f,w,n
e,x,s,n,f,n,f,w,b
e,f,y,y,t,a,f,c,b
p,x,y,n,t,p,f,c,n
e,x,s,w,t,l,f,c,b
e,x,f,w,f,n,f,w,b
e,b,s,w,t,a,f,c,b
e,x,y,w,t,l,f,c,b
e,f,y,y,t,l,f,c,b
e,x,f,n,f,n,f,w,b
p,x,s,w,t,p,f,c,n
p,x,y,w,t,p,f,c,n
e,x,y,w,t,l,f,c,b
e,b,y,w,t,a,f,c,b
e,x,f,w,t,a,f,w,n
p,x,y,w,t,p,f,c,n
e,x,s,w,t,l,f,c,b
e,x,f,g,f,n,f,c,n
e,x,f,n,f,n,f,c,n
e,b,s,w,t,a,f,c,b
e,x,y,n,t,a,f,c,b
e,b,y,w,t,a,f,c,b
e,f,y,y,t,l,f,c,b
e,x,y,w,t,l,f,c,b
e,b,y,w,t,l,f,c,b
e,b,y,w,t,a,f,c,b
p,x,s,n,t,p,f,c,n
e,f,s,y,t,a,f,w,n
e,x,y,n,t,a,f,c,b
e,b,s,y,t,l,f,c,b
e,f,s,w,t,a,f,w,n
e,b,y,y,t,l,f,c,b
e,b,y,y,t,a,f,c,b
e,b,s,y,t,a,f,c,b
e,f,y,y,t,l,f,c,b
e,x,s,w,f,n,f,w,b
e,b,y,y,t,a,f,c,b
e,x,y,n,t,a,f,c,b
e,b,s,w,t,l,f,c,b
e,f,y,n,t,l,f,c,b
e,x,s,w,t,l,f,c,b
e,x,f,n,f,n,f,c,n
e,x,y,n,t,l,f,c,b
e,f,f,g,f,n,f,w,b
e,x,s,w,t,l,f,w,n
e,f,f,n,f,n,f,c,n
e,b,y,y,t,a,f,c,b
e,b,s,w,t,a,f,c,b
e,x,s,w,t,a,f,c,b
e,b,s,y,t,l,f,c,b
