class,cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color
e,x,y,n,t,a,f,c,b,w
e,b,y,y,t,l,f,c,b,g
e,s,f,n,f,n,f,c,n,k
e,f,y,n,t,a,f,c,b,w
e,x,y,y,t,a,f,c,b,k
e,x,f,g,f,n,f,w,b,k
e,f,f,w,f,n,f,w,b,k
e,x,y,y,t,l,f,c,b,w
e,b,s,y,t,l,f,c,b,k
e,b,y,w,t,a,f,c,b,g
e,x,y,w,t,a,f,c,b,w
e,x,s,n,f,n,f,w,b,p
e,x,y,w,t,l,f,c,b,g
e,s,f,n,f,n,f,c,n,k
e,x,s,w,t,a,f,w,n,w
e,x,y,n,t,l,f,c,b,w
e,b,y,y,t,a,f,c,b,k
e,x,y,w,t,a,f,c,b,k
e,b,y,w,t,a,f,c,b,n
e,b,s,y,t,a,f,c,b,g
e,b,s,y,t,l,f,c,b,g
e,b,y,y,t,a,f,c,b,n
e,x,f,n,f,n,f,c,n,k
e,f,y,n,t,l,f,c,b,n
e,x,y,w,t,a,f,c,b,k
e,f,y,y,t,l,f,c,b,w
e,b,s,w,t,a,f,c,b,w
e,b,s,w,t,a,f,c,b,w
e,x,y,n,t,l,f,c,b,w
e,b,s,w,t,a,f,c,b,k
e,x,f,g,f,n,f,c,n,g
e,b,s,y,t,l,f,c,b,k
e,x,f,y,t,l,f,w,n,n
e,b,y,y,t,a,f,c,b,w
e,f,y,y,t,l,f,c,b,p
e,b,y,w,t,l,f,c,b,w
e,b,y,w,t,a,f,c,b,k
e,b,y,y,t,a,f,c,b,g
e,x,y,y,t,l,f,c,b,g
e,b,s,y,t,l,f,c,b,g
p,x,y,w,t,p,f,c,n,p
e,s,f,n,f,n,f,c,n,g
e,f,f,n,f,n,f,c,n,g
e,x,s,y,t,a,f,c,b,g
e,f,y,n,t,a,f,c,b,p
p,x,y,w,t,p,f,c,n,k
e,b,s,w,t,l,f,c,b,g
e,f,f,g,f,n,f,c,n,p
e,b,y,y,t,l,f,c,b,g
e,x,y,n,t,a,f,c,b,w
e,x,f,w,f,n,f,w,b,p
e,x,s,w,t,l,f,w,n,w
e,b,s,w,t,l,f,c,b,w
e,f,s,y,t,a,f,w,n,w
e,x,s,y,t,a,f,c,b,k
e,f,f,g,f,n,f,c,n,g
e,b,s,y,t,a,f,c,b,n
e,x,s,w,t,l,f,c,b,g
e,x,y,w,t,l,f,c,b,n
e,f,s,w,t,a,f,w,n,n
e,x,y,y,t,l,f,c,b,w
e,b,s,w,t,l,f,c,b,w
e,x,s,w,t,a,f,c,b,g
e,x,f,w,f,n,f,w,b,h
e,f,y,n,t,l,f,c,b,n
p,x,s,w,t,p,f,c,n,k
e,b,s,w,t,a,f,c,b,n
e,b,s,w,t,a,f,c,b,k
e,b,y,w,t,l,f,c,b,n
e,b,y,w,t,a,f,c,b,w
e,x,s,y,t,a,f,c,b,w
e,b,s,w,t,l,f,c,b,w
e,x,f,y,t,a,f,w,n,n
e,x,f,g,f,n,f,c,n,n
e,f,y,y,t,a,f,c,b,n
e,b,s,w,t,l,f,c,b,n
e,x,s,y,t,a,f,c,b,g
e,x,y,y,t,a,f,c,b,k
e,x,y,w,t,l,f,c,b,w
e,s,f,g,f,n,f,c,n,p
e,x,s,w,t,a,f,c,b,n
p,x,s,w,t,p,f,c,n,k
e,x,y,y,t,a,f,c,b,n
e,f,f,w,t,a,f,w,n,p
e,x,y,w,t,l,f,c,b,g
e,b,y,w,t,l,f,c,b,n
e,x,s,w,t,a,f,c,b,g
e,x,s,y,t,a,f,c,b,g
p,x,y,n,t,p,f,c,n,p
e,b,s,y,t,a,f,c,b,n
e,x,f,g,f,n,f,c,n,n
p,x,y,w,t,p,f,c,n,k
e,x,y,y,t,l,f,c,b,n
e,f,f,n,f,n,f,c,n,k
e,b,s,w,t,l,f,c,b,k
e,x,f,w,t,l,f,w,n,w
e,x,y,w,t,l,f,c,b,w
e,b,y,y,t,l,f,c,b,n
e,x,y,y,t,l,f,c,b,n
e,f,y,y,t,a,f,c,b,p
e,f,y,y,t,a,f,c,b,w
e,x,s,w,t,l,f,c,b,w
e,x,s,w,t,a,f,c,b,w
p,x,s,w,t,p,f,c,n,n
e,f,f,w,t,a,f,w,n,p
e,x,s,w,t,l,f,c,b,w
e,x,s,w,t,l,f,w,n,p
e,x,y,w,t,a,f,c,b,n
e,f,y,y,t,l,f,c,b,w
e,x,s,n,f,n,f,w,b,p
e,f,y,y,t,a,f,c,b,w
p,x,s,n,t,p,f,c,n,p
e,s,f,n,f,n,f,c,n,g
e,b,y,y,t,l,f,c,b,w
e,b,s,w,t,l,f,c,b,n
e,b,y,w,t,l,f,c,b,k
e,f,f,n,f,n,f,c,n,k
e,x,s,w,t,a,f,c,b,w
e,b,y,w,t,l,f,c,b,g
e,b,y,w,t,a,f,c,b,g
e,f,y,n,t,l,f,c,b,w
p,x,y,w,t,p,f,c,n,k
e,x,s,w,t,a,f,c,b,n
e,x,y,w,t,a,f,c,b,n
e,f,f,w,t,l,f,w,n,w
e,f,f,g,f,n,f,c,n,g
e,f,s,g,f,n,f,w,b,p
e,x,y,y,t,a,f,c,b,g
e,b,s,w,t,a,f,c,b,k
p,f,y,n,t,p,f,c,n,w
e,x,s,w,t,l,f,c,b,n
p,f,s,n,t,p,f,c,n,w
e,x,y,w,t,l,f,c,b,k
e,x,y,y,t,a,f,c,b,k
e,f,y,y,t,a,f,c,b,n
e,x,y,n,t,a,f,c,b,w
e,f,y,n,t,a,f,c,b,w
e,x,y,w,t,a,f,c,b,w
e,f,f,n,f,n,f,w,b,h
e,x,s,y,t,l,f,c,b,k
p,x,y,w,t,p,f,c,n,w
e,b,y,y,t,a,f,c,b,n
e,s,f,n,f,n,f,c,n,p
e,x,s,y,t,l,f,c,b,k
e,b,y,w,t,l,f,c,b,n
e,f,y,n,t,a,f,c,b,n
e,b,y,y,t,a,f,c,b,g
e,b,y,w,t,a,f,c,b,g
e,x,y,n,t,l,f,c,b,n
e,f,f,g,f,n,f,c,n,p
e,x,f,g,f,n,f,c,n,g
e,b,y,y,t,l,f,c,b,n
e,x,s,y,t,l,f,c,b,n
e,b,y,w,t,l,f,c,b,k
e,x,s,w,t,a,f,c,b,g
e,b,s,y,t,a,f,c,b,g
e,x,s,y,t,a,f,c,b,k
e,x,f,g,f,n,f,w,b,p
e,f,s,y,t,a,f,w,n,p
p,x,y,w,t,p,f,c,n,p
e,x,f,w,f,n,f,w,b,k
e,b,y,w,t,a,f,c,b,w
e,x,s,y,t,l,f,w,n,w
e,b,y,w,t,a,f,c,b,n
e,x,y,w,t,l,f,c,b,g
e,x,f,n,t,n,f,c,b,p
e,b,y,w,t,l,f,c,b,k
e,x,s,y,t,l,f,c,b,g
e,f,y,n,t,a,f,c,b,p
e,x,f,w,f,n,f,w,b,n
e,x,s,y,t,l,f,c,b,w
p,x,y,w,t,p,f,c,n,n
e,x,y,y,t,l,f,c,b,n
e,x,f,w,t,a,f,w,n,p
e,b,s,y,t,a,f,c,b,g
p,x,y,w,t,p,f,c,n,k
e,x,s,y,t,a,f,w,n,w
e,x,y,w,t,a,f,c,b,k
e,x,f,w,t,l,f,w,n,n
e,f,s,w,t,l,f,w,n,w
e,x,y,y,t,l,f,c,b,k
e,f,f,y,t,a,f,w,n,w
e,x,s,w,t,a,f,c,b,w
e,b,y,y,t,a,f,c,b,n
e,x,y,n,t,l,f,c,b,p
e,b,y,w,t,l,f,c,b,k
e,x,s,y,t,a,f,c,b,n
p,x,y,n,t,p,f,c,n,n
e,b,s,y,t,l,f,c,b,w
e,b,y,w,t,a,f,c,b,g
p,x,y,n,t,p,f,c,n,w
e,b,s,w,t,l,f,c,b,n
e,b,y,y,t,l,f,c,b,w
e,b,y,y,t,a,f,c,b,n
e,x,y,w,t,l,f,c,b,g
e,x,f,n,t,n,f,c,b,p
e,x,y,n,t,a,f,c,b,w
e,b,s,y,t,l,f,c,b,n
e,x,f,g,f,n,f,c,n,g
e,x,y,n,t,l,f,c,b,n
e,x,s,w,t,a,f,c,b,k
e,b,y,w,t,a,f,c,b,n
e,x,s,y,t,a,f,c,b,g
e,f,f,y,t,a,f,w,n,p
e,b,y,y,t,l,f,c,b,g
e,x,f,n,f,n,f,w,b,n
e,x,f,y,t,l,f,w,n,n
e,x,s,y,t,a,f,c,b,n
e,f,s,g,f,n,f,w,b,n
e,x,f,n,f,n,f,c,n,g
e,f,s,g,f,n,f,w,b,h
e,f,y,n,t,a,f,c,b,p
e,b,y,w,t,a,f,c,b,k
e,b,s,y,t,a,f,c,b,k
e,x,y,y,t,l,f,c,b,w
e,s,f,g,f,n,f,c,n,g
e,f,y,n,t,a,f,c,b,p
p,x,y,n,t,p,f,c,n,k
e,x,y,y,t,a,f,c,b,p
e,x,y,y,t,a,f,c,b,w
e,x,f,n,f,n,f,w,b,h
e,x,f,n,f,n,f,w,b,p
e,f,s,n,f,n,f,w,b,k
e,f,y,n,t,a,f,c,b,n
e,x,s,y,t,a,f,c,b,w
e,f,f,n,f,n,f,c,n,p
e,x,y,y,t,a,f,c,b,w
e,x,f,y,t,a,f,w,n,p
e,b,y,y,t,a,f,c,b,g
e,x,f,g,f,n,f,w,b,n
e,x,y,y,t,a,f,c,b,w
e,f,y,n,t,l,f,c,b,n
e,x,s,y,t,a,f,c,b,w
e,s,f,n,f,n,f,c,n,n
e,x,s,w,t,a,f,c,b,k
e,b,s,w,t,l,f,c,b,n
e,s,f,n,f,n,f,c,n,k
e,b,y,y,t,l,f,c,b,n
e,x,y,y,t,l,f,c,b,k
e,b,y,y,t,a,f,c,b,k
p,x,y,n,t,p,f,c,n,p
e,x,s,w,f,n,f,w,b,k
e,x,y,w,t,a,f,c,b,w
e,b,s,w,t,a,f,c,b,g
e,x,f,n,t,n,f,c,b,n
p,x,s,n,t,p,f,c,n,w
e,x,y,n,t,l,f,c,b,w
e,x,s,n,f,n,f,w,b,n
e,b,y,y,t,l,f,c,b,n
e,x,s,y,t,a,f,c,b,w
e,b,s,y,t,a,f,c,b,n
e,x,s,y,t,l,f,c,b,g
e,b,y,w,t,a,f,c,b,n
e,x,f,g,f,n,f,c,n,k
e,f,y,n,t,a,f,c,b,w
e,x,f,g,f,n,f,w,b,h
e,x,s,w,t,l,f,c,b,k
e,x,y,y,t,l,f,c,b,w
e,x,f,g,f,n,f,c,n,n
p,x,s,n,t,p,f,c,n,p
e,b,y,w,t,l,f,c,b,w
e,b,y,w,t,a,f,c,b,n
p,x,y,n,t,p,f,c,n,p
e,b,s,y,t,l,f,c,b,w
e,x,s,w,t,l,f,c,b,k
e,x,y,y,t,l,f,c,b,n
e,b,y,y,t,l,f,c,b,n
e,x,s,w,t,a,f,c,b,g
e,x,s,w,t,a,f,c,b,g
e,x,y,n,t,l,f,c,b,w
e,x,s,w,t,a,f,c,b,w
e,x,s,n,f,n,f,w,b,n
e,x,y,n,t,l,f,c,b,n
e,x,y,y,t,l,f,c,b,n
p,x,y,n,t,p,f,c,n,k
e,b,y,y,t,a,f,c,b,w
e,x,f,w,t,l,f,w,n,p
p,x,s,n,t,p,f,c,n,w
e,x,y,y,t,l,f,c,b,k
e,f,f,g,f,n,f,w,b,h
e,x,y,w,t,l,f,c,b,n
e,b,y,w,t,a,f,c,b,w
p,x,y,n,t,p,f,c,n,p
e,f,y,n,t,l,f,c,b,w
e,x,s,w,t,l,f,c,b,n
e,x,s,w,t,a,f,w,n,n
e,f,y,n,t,a,f,c,b,n
e,b,s,w,t,a,f,c,b,k
e,x,s,w,f,n,f,w,b,p
e,f,f,g,f,n,f,c,n,n
e,x,y,w,t,a,f,c,b,g
e,x,y,y,t,l,f,c,b,n
e,b,s,y,t,l,f,c,b,g
e,b,s,y,t,l,f,c,b,w
e,f,s,w,t,l,f,w,n,n
e,b,s,w,t,a,f,c,b,w
e,x,f,y,t,a,f,w,n,n
e,x,y,w,t,l,f,c,b,g
e,b,y,y,t,l,f,c,b,k
e,x,y,n,t,a,f,c,b,p
e,x,y,w,t,l,f,c,b,n
e,x,y,w,t,l,f,c,b,g
e,x,y,y,t,a,f,c,b,p
e,x,y,w,t,l,f,c,b,n
e,x,s,y,t,l,f,c,b,w
e,x,y,n,t,l,f,c,b,p
e,x,s,w,t,l,f,c,b,n
e,f,y,n,t,l,f,c,b,n
e,b,s,w,t,l,f,c,b,w
e,x,f,n,t,n,f,c,b,n
e,x,y,w,t,l,f,c,b,k
e,b,s,w,t,l,f,c,b,g
e,b,s,y,t,l,f,c,b,g
e,x,f,y,t,l,f,w,n,p
e,b,s,w,t,l,f,c,b,g
e,x,s,g,f,n,f,w,b,h
e,b,s,w,t,a,f,c,b,k
e,b,s,y,t,l,f,c,b,w
e,f,y,y,t,a,f,c,b,n
e,f,y,n,t,a,f,c,b,w
e,x,s,w,t,a,f,c,b,k
e,f,y,y,t,l,f,c,b,n
e,b,s,w,t,a,f,c,b,g
e,x,y,y,t,a,f,c,b,w
e,x,f,n,f,n,f,c,n,k
e,f,y,n,t,a,f,c,b,p
e,x,s,w,t,a,f,c,b,g
e,x,s,y,t,l,f,c,b,g
e,b,y,y,t,l,f,c,b,g
e,f,y,y,t,a,f,c,b,w
e,x,y,y,t,l,f,c,b,g
e,x,y,w,t,a,f,c,b,w
e,f,f,w,t,a,f,w,n,n
e,s,f,g,f,n,f,c,n,k
e,f,s,y,t,l,f,w,n,n
e,f,f,g,f,n,f,c,n,k
e,x,f,n,f,n,f,c,n,p
e,b,y,w,t,a,f,c,b,w
e,x,s,w,t,a,f,w,n,p
e,b,y,y,t,l,f,c,b,n
e,b,y,y,t,a,f,c,b,k
e,b,y,y,t,l,f,c,b,g
e,f,s,w,t,l,f,w,n,p
e,f,f,g,f,n,f,c,n,g
e,f,s,w,t,a,f,w,n,w
e,f,y,y,t,a,f,c,b,p
e,x,y,w,t,l,f,c,b,w
e,s,f,n,f,n,f,c,n,p
e,x,y,n,t,l,f,c,b,n
e,x,y,n,t,a,f,c,b,n
e,f,f,y,t,a,f,w,n,n
p,f,s,n,t,p,f,c,n,p
p,x,s,n,t,p,f,c,n,k
e,f,y,n,t,l,f,c,b,w
e,x,y,y,t,a,f,c,b,w
e,b,s,y,t,a,f,c,b,k
e,f,f,w,f,n,f,w,b,h
e,f,y,n,t,a,f,c,b,p
e,x,y,w,t,a,f,c,b,n
e,b,s,y,t,l,f,c,b,w
e,x,s,y,t,a,f,c,b,w
e,b,y,y,t,a,f,c,b,g
e,x,s,w,t,l,f,c,b,g
e,b,s,y,t,a,f,c,b,w
e,b,y,y,t,a,f,c,b,w
p,x,s,n,t,p,f,c,n,n
e,x,s,g,f,n,f,w,b,p
e,f,s,n,f,n,f,w,b,p
e,x,f,w,t,a,f,w,n,n
e,f,f,g,f,n,f,c,n,p
e,f,f,n,f,n,f,c,n,k
e,b,y,y,t,a,f,c,b,k
e,x,f,w,t,a,f,w,n,n
e,s,f,g,f,n,f,c,n,n
e,x,f,n,f,n,f,c,n,k
e,x,f,w,f,n,f,w,b,h
e,x,y,n,t,l,f,c,b,n
e,b,s,y,t,a,f,c,b,k
e,x,y,w,t,l,f,c,b,k
e,x,y,y,t,a,f,c,b,k
e,x,s,w,t,l,f,c,b,w
e,b,s,w,t,l,f,c,b,n
e,f,y,y,t,a,f,c,b,p
p,x,s,n,t,p,f,c,n,n
e,f,f,g,f,n,f,c,n,n
e,b,s,y,t,l,f,c,b,w
e,f,y,n,t,a,f,c,b,w
e,x,s,y,t,a,f,c,b,k
e,x,f,n,f,n,f,c,n,k
e,f,y,y,t,a,f,c,b,w
e,x,y,n,t,a,f,c,b,n
e,x,s,w,t,a,f,c,b,n
p,x,y,w,t,p,f,c,n,n
e,f,y,n,t,l,f,c,b,w
p,f,s,n,t,p,f,c,n,k
e,x,f,w,f,n,f,w,b,k
e,b,y,w,t,a,f,c,b,k
e,s,f,n,f,n,f,c,n,p
e,x,y,y,t,l,f,c,b,g
e,f,s,w,t,a,f,w,n,p
e,x,s,y,t,a,f,c,b,n
e,f,f,g,f,n,f,w,b,p
p,x,y,w,t,p,f,c,n,n
e,x,y,y,t,a,f,c,b,p
e,f,f,n,f,n,f,w,b,n
e,x,s,w,t,a,f,c,b,w
e,b,y,y,t,l,f,c,b,g
e,f,f,g,f,n,f,c,n,g
e,x,f,y,t,l,f,w,n,p
e,x,s,y,t,a,f,c,b,g
e,f,f,n,f,n,f,c,n,n
e,x,f,g,f,n,f,w,b,h
e,x,y,y,t,l,f,c,b,p
e,f,s,w,t,l,f,w,n,p
e,x,s,y,t,l,f,c,b,k
e,f,y,y,t,a,f,c,b,p
p,x,y,n,t,p,f,c,n,k
e,x,f,w,t,l,f,w,n,w
e,x,s,w,t,l,f,c,b,w
e,x,y,y,t,a,f,c,b,g
e,b,s,y,t,a,f,c,b,g
e,x,s,y,t,a,f,w,n,w
e,x,s,y,t,a,f,w,n,n
e,x,f,w,f,n,f,w,b,n
e,b,s,w,t,a,f,c,b,w
p,x,y,w,t,p,f,c,n,w
e,x,y,y,t,a,f,c,b,g
e,f,s,g,f,n,f,w,b,k
p,x,s,n,t,p,f,c,n,n
e,b,y,w,t,a,f,c,b,w
e,x,s,w,t,a,f,c,b,k
e,f,f,y,t,l,f,w,n,n
e,x,s,y,t,a,f,c,b,k
e,b,y,w,t,l,f,c,b,w
e,x,y,n,t,a,f,c,b,w
e,x,s,y,t,l,f,c,b,w
e,x,f,n,f,n,f,c,n,p
e,x,s,y,t,l,f,c,b,n
e,x,y,y,t,l,f,c,b,w
p,x,s,n,t,p,f,c,n,w
e,x,s,w,t,a,f,c,b,g
e,x,s,y,t,a,f,c,b,w
e,x,y,w,t,l,f,c,b,k
e,x,y,y,t,a,f,c,b,n
e,f,y,y,t,a,f,c,b,w
e,x,y,w,t,a,f,c,b,k
e,s,f,g,f,n,f,c,n,g
e,f,f,n,f,n,f,c,n,n
e,s,f,g,f,n,f,c,n,n
e,x,y,w,t,a,f,c,b,n
p,x,s,w,t,p,f,c,n,k
e,x,s,g,f,n,f,w,b,h
e,x,y,y,t,l,f,c,b,g
p,x,y,w,t,p,f,c,n,k
e,x,s,y,t,a,f,c,b,g
p,x,s,n,t,p,f,c,n,p
e,b,s,y,t,l,f,c,b,n
e,b,y,w,t,l,f,c,b,g
p,x,y,w,t,p,f,c,n,p
p,x,s,n,t,p,f,c,n,n
e,x,s,g,f,n,f,w,b,n
e,x,y,n,t,l,f,c,b,w
e,f,f,w,f,n,f,w,b,k
e,f,y,n,t,l,f,c,b,n
e,b,y,w,t,l,f,c,b,w
e,b,s,w,t,a,f,c,b,n
e,x,s,g,f,n,f,w,b,n
e,f,y,n,t,a,f,c,b,n
e,x,s,w,t,l,f,c,b,w
e,f,f,g,f,n,f,c,n,n
e,f,s,n,f,n,f,w,b,h
e,x,f,g,f,n,f,w,b,n
e,f,s,w,f,n,f,w,b,p
p,x,s,w,t,p,f,c,n,k
e,x,y,y,t,l,f,c,b,p
e,b,s,w,t,l,f,c,b,g
e,f,f,g,f,n,f,w,b,p
e,b,y,w,t,l,f,c,b,g
e,b,s,y,t,a,f,c,b,n
e,s,f,g,f,n,f,c,n,n
e,f,y,y,t,l,f,c,b,p
e,b,s,w,t,l,f,c,b,w
e,x,f,w,t,l,f,w,n,n
e,f,y,y,t,a,f,c,b,n
e,f,f,g,f,n,f,c,n,p
e,x,s,w,t,l,f,c,b,g
e,f,f,y,t,l,f,w,n,w
e,s,f,g,f,n,f,c,n,p
e,b,y,w,t,a,f,c,b,g
e,b,s,w,t,a,f,c,b,k
e,f,f,n,f,n,f,w,b,n
e,b,y,y,t,a,f,c,b,k
e,x,f,n,t,n,f,c,b,n
e,x,y,n,t,l,f,c,b,n
e,x,y,n,t,a,f,c,b,p
e,b,y,y,t,a,f,c,b,w
e,f,y,y,t,a,f,c,b,p
e,x,y,y,t,l,f,c,b,n
e,x,s,n,f,n,f,w,b,h
e,x,y,w,t,a,f,c,b,g
e,b,y,y,t,l,f,c,b,w
e,x,y,n,t,a,f,c,b,n
e,f,y,n,t,l,f,c,b,w
e,f,y,n,t,a,f,c,b,w
e,f,y,y,t,l,f,c,b,n
e,x,s,y,t,l,f,w,n,n
e,b,y,w,t,a,f,c,b,g
e,b,s,w,t,l,f,c,b,k
e,x,y,y,t,a,f,c,b,n
e,f,f,w,t,l,f,w,n,p
e,x,s,y,t,a,f,c,b,n
e,b,s,y,t,l,f,c,b,n
e,f,y,y,t,a,f,c,b,w
p,x,y,n,t,p,f,c,n,w
p,x,y,w,t,p,f,c,n,w
e,x,s,y,t,l,f,c,b,g
e,f,f,w,f,n,f,w,b,k
e,b,s,y,t,a,f,c,b,g
e,x,y,y,t,l,f,c,b,w
e,f,f,g,f,n,f,c,n,k
e,b,s,w,t,a,f,c,b,n
e,x,s,w,t,l,f,c,b,k
p,x,y,n,t,p,f,c,n,n
p,x,s,n,t,p,f,c,n,k
e,b,s,w,t,l,f,c,b,g
e,b,s,y,t,a,f,c,b,w
e,f,y,n,t,a,f,c,b,w
e,x,y,y,t,l,f,c,b,p
e,f,y,y,t,l,f,c,b,n
e,x,y,w,t,a,f,c,b,w
e,x,s,y,t,a,f,c,b,k
e,f,f,n,f,n,f,c,n,p
e,f,f,n,f,n,f,w,b,p
e,x,f,y,t,l,f,w,n,w
e,f,y,y,t,l,f,c,b,w
e,f,f,n,f,n,f,c,n,g
e,f,f,g,f,n,f,c,n,k
e,x,y,n,t,l,f,c,b,n
e,x,y,y,t,l,f,c,b,w
e,b,s,w,t,a,f,c,b,g
e,x,s,w,t,l,f,w,n,n
e,x,y,w,t,a,f,c,b,n
e,x,f,y,t,a,f,w,n,w
e,b,s,y,t,a,f,c,b,w
e,x,f,n,t,n,f,c,b,p
e,x,y,w,t,a,f,c,b,g
e,f,f,g,f,n,f,c,n,k
e,b,y,w,t,a,f,c,b,n
e,x,y,y,t,l,f,c,b,w
e,x,s,w,t,a,f,c,b,k
e,b,s,y,t,a,f,c,b,w
e,b,y,w,t,l,f,c,b,k
e,x,y,n,t,a,f,c,b,p
e,f,s,g,f,n,f,w,b,k
p,x,y,n,t,p,f,c,n,p
